Overall Qual,Gr Liv Area,Garage Area,Garage Cars,Total Bsmt SF,1st Flr SF,SalePrice,Bsmt Qual
8,2610,550.0,2.0,1184.0,1184,303477,4
7,1483,690.0,2.0,1420.0,1483,270000,4
5,1740,225.0,1.0,936.0,960,122250,3
5,1382,350.0,1.0,1382.0,1382,153000,3
5,1120,0.0,0.0,1120.0,1120,147000,4
7,1098,216.0,1.0,531.0,567,148500,4
7,1708,380.0,2.0,976.0,976,130000,4
9,1802,843.0,3.0,1802.0,1802,372000,5
7,1506,440.0,2.0,1362.0,1506,213490,4
7,1508,572.0,2.0,1508.0,1508,308030,4
7,2032,786.0,3.0,1840.0,2032,300000,5
6,1194,539.0,2.0,655.0,1194,159500,3
7,1709,380.0,2.0,970.0,970,137500,4
7,1616,834.0,3.0,1616.0,1616,232000,4
6,768,440.0,2.0,768.0,768,93850,3
5,872,322.0,1.0,872.0,872,105000,3
4,520,240.0,1.0,520.0,520,68500,3
5,2274,480.0,2.0,1105.0,1105,154300,3
5,1601,0.0,0.0,936.0,936,129850,3
5,1232,480.0,2.0,616.0,616,114000,3
9,2234,1166.0,3.0,2216.0,2234,501837,5
5,1416,720.0,3.0,876.0,876,153900,3
4,864,576.0,2.0,864.0,864,130000,3
6,1189,392.0,2.0,1189.0,1189,160500,5
9,1666,575.0,2.0,1666.0,1666,310090,5
7,1200,555.0,2.0,1176.0,1200,184900,4
5,928,252.0,1.0,928.0,928,132000,4
5,1336,502.0,2.0,1288.0,1336,163000,4
7,1200,480.0,2.0,600.0,600,155000,4
6,1427,516.0,2.0,1427.0,1427,183000,3
7,1992,608.0,2.0,860.0,1212,211000,4
7,1540,495.0,2.0,754.0,754,184000,4
5,1535,400.0,2.0,0.0,1535,118858,0
5,1152,484.0,2.0,1152.0,1152,180500,3
8,1151,484.0,2.0,1141.0,1151,166000,4
6,1138,480.0,2.0,1138.0,1138,148000,3
5,1074,396.0,2.0,894.0,1074,124000,3
9,1561,556.0,2.0,1561.0,1561,277500,5
8,2726,725.0,3.0,1342.0,1358,350000,4
9,1884,670.0,3.0,1884.0,1884,387000,5
4,605,0.0,0.0,528.0,605,86000,3
8,1671,550.0,2.0,1426.0,1671,290000,4
3,797,0.0,0.0,245.0,797,44000,2
6,1961,560.0,2.0,804.0,804,215000,5
5,1193,501.0,2.0,1153.0,1193,146500,4
7,1382,490.0,2.0,673.0,673,165000,4
6,2526,216.0,1.0,714.0,1664,136000,3
6,1390,550.0,2.0,1705.0,1390,252000,4
7,1626,474.0,2.0,764.0,764,175500,4
5,1558,400.0,2.0,690.0,868,150000,3
5,1422,286.0,1.0,978.0,1422,139900,3
5,1573,360.0,2.0,1078.0,1128,162900,3
6,1116,440.0,2.0,1116.0,1116,160000,3
2,660,0.0,0.0,0.0,660,63900,0
6,1707,479.0,2.0,1140.0,1707,184000,3
5,1466,528.0,2.0,1466.0,1466,149900,3
9,1638,495.0,2.0,1614.0,1638,300000,4
5,1721,626.0,2.0,988.0,1721,145000,3
6,1764,470.0,2.0,928.0,928,231500,4
5,996,0.0,0.0,996.0,996,108000,3
5,1202,304.0,1.0,1202.0,1202,120000,3
5,988,572.0,2.0,988.0,988,128500,3
5,1028,360.0,2.0,1008.0,1028,115000,3
5,1284,240.0,1.0,720.0,720,110000,3
9,2944,864.0,3.0,994.0,1599,150000,4
8,1414,403.0,2.0,707.0,707,178000,5
7,1609,579.0,3.0,637.0,959,199500,3
6,1525,400.0,2.0,813.0,813,183500,3
5,1656,288.0,1.0,624.0,1092,126000,4
7,1055,440.0,2.0,1055.0,1055,148500,4
5,1352,720.0,2.0,676.0,676,149000,3
6,1456,440.0,2.0,855.0,855,137900,4
8,1719,473.0,2.0,1719.0,1719,324000,4
5,864,0.0,0.0,864.0,864,98000,3
6,987,264.0,1.0,483.0,483,103400,3
5,1020,0.0,0.0,780.0,780,94000,3
8,1554,627.0,2.0,1554.0,1554,209500,4
10,3390,758.0,3.0,1528.0,1528,545224,5
6,1560,0.0,0.0,780.0,780,159900,3
4,864,400.0,2.0,864.0,864,141000,3
6,1889,431.0,2.0,982.0,1008,215000,4
5,1040,260.0,1.0,1040.0,1040,127000,3
5,1172,366.0,1.0,1172.0,1172,128000,3
8,1418,852.0,3.0,1642.0,1418,267916,5
6,1367,560.0,1.0,884.0,959,127500,3
7,1922,672.0,2.0,0.0,495,198500,0
6,1422,576.0,2.0,1422.0,1422,175500,4
7,1842,486.0,2.0,985.0,985,217500,4
4,1962,572.0,2.0,888.0,888,149500,3
5,1120,656.0,2.0,864.0,1120,148800,3
9,2868,716.0,3.0,1992.0,1992,556581,5
6,1478,442.0,2.0,1478.0,1478,156500,3
7,1995,610.0,2.0,930.0,950,237000,4
5,912,297.0,1.0,912.0,912,120000,3
6,1326,388.0,2.0,1326.0,1326,203000,4
8,1204,461.0,2.0,1191.0,1204,130000,4
6,1611,442.0,2.0,780.0,798,167900,3
4,960,576.0,2.0,960.0,960,129000,3
5,1236,447.0,1.0,1070.0,1236,134450,3
5,1416,576.0,2.0,816.0,1416,112000,3
7,1873,619.0,2.0,929.0,946,207000,4
5,2128,0.0,0.0,1040.0,1088,62500,3
7,1626,474.0,2.0,764.0,764,154000,4
5,816,308.0,1.0,816.0,816,129900,3
5,1112,336.0,1.0,536.0,536,85000,4
7,1111,288.0,1.0,572.0,572,116900,3
6,1441,440.0,2.0,855.0,855,148500,3
4,924,280.0,1.0,672.0,672,80000,4
5,1126,506.0,2.0,1060.0,1126,152000,4
5,992,319.0,1.0,381.0,992,155891,2
6,1376,576.0,2.0,768.0,752,165000,3
7,1218,676.0,2.0,1218.0,1218,204500,4
5,1644,312.0,1.0,728.0,888,146500,3
7,1601,478.0,2.0,1271.0,1601,157000,4
7,2495,342.0,2.0,1313.0,1313,184000,3
6,1509,393.0,2.0,783.0,807,183200,4
5,1092,288.0,1.0,1092.0,1092,139000,3
7,2418,983.0,3.0,1311.0,1325,341000,4
6,987,264.0,1.0,483.0,483,96000,3
4,1121,440.0,2.0,1121.0,1121,140000,4
6,1236,923.0,2.0,912.0,1236,149700,3
5,1074,495.0,2.0,1056.0,1074,153500,4
1,733,487.0,2.0,0.0,733,13100,0
7,1768,543.0,2.0,884.0,884,224900,4
7,1266,453.0,2.0,1257.0,1266,176000,4
8,2872,541.0,2.0,1683.0,2129,285000,4
8,1464,754.0,3.0,1485.0,1464,282922,4
7,2157,487.0,2.0,924.0,1216,226000,3
8,2576,666.0,3.0,1234.0,1264,361919,5
9,2798,670.0,3.0,1398.0,1414,457347,5
8,1743,529.0,2.0,966.0,1743,279000,4
6,1567,714.0,2.0,1567.0,1567,196000,3
7,1370,479.0,2.0,1090.0,1370,152000,4
5,2634,968.0,4.0,1248.0,1338,200000,3
8,1590,754.0,3.0,1570.0,1590,294900,5
7,1450,788.0,3.0,1450.0,1450,224243,4
6,1338,528.0,2.0,832.0,846,92000,2
7,1456,400.0,2.0,728.0,728,179540,4
10,2392,968.0,3.0,2392.0,2392,386250,5
4,992,297.0,1.0,530.0,530,106500,4
10,2007,812.0,3.0,1017.0,1026,310000,5
7,2385,600.0,3.0,1066.0,1108,252000,4
7,1646,240.0,1.0,918.0,918,164000,3
7,1456,400.0,2.0,728.0,728,177594,4
5,1040,624.0,2.0,528.0,548,123900,3
6,2624,864.0,3.0,1370.0,1370,239000,4
5,1264,528.0,2.0,1068.0,1264,169000,3
7,1557,420.0,2.0,1374.0,1557,234000,4
6,1287,541.0,2.0,957.0,1287,173000,4
6,1004,480.0,2.0,1004.0,1004,149000,3
7,1162,483.0,2.0,1162.0,1162,170000,4
7,1436,529.0,2.0,1436.0,1436,225000,5
5,960,300.0,1.0,960.0,960,144900,3
5,1196,336.0,1.0,1196.0,1196,144000,4
8,1269,430.0,2.0,1256.0,1269,192000,4
5,1031,230.0,1.0,1031.0,1031,145500,3
4,720,280.0,1.0,448.0,448,86900,2
6,1505,505.0,2.0,1505.0,1505,149500,3
5,954,240.0,1.0,920.0,954,119750,2
6,1500,564.0,2.0,750.0,750,173900,4
5,1050,368.0,1.0,1050.0,1050,136500,3
8,2687,618.0,2.0,2062.0,2079,270000,4
6,1252,564.0,2.0,1602.0,1252,235000,4
7,1430,400.0,2.0,384.0,774,156000,4
5,1114,576.0,2.0,1114.0,1114,153000,4
6,1224,402.0,2.0,1224.0,1224,165000,5
9,2504,656.0,3.0,1122.0,1134,325000,4
5,1355,528.0,2.0,728.0,760,140000,3
6,2294,658.0,2.0,741.0,1497,202500,3
9,1702,1052.0,3.0,1702.0,1702,367294,5
6,1509,600.0,2.0,1461.0,1509,175000,4
7,1717,642.0,3.0,756.0,961,140000,3
7,1240,528.0,2.0,1265.0,1240,174000,4
7,1166,400.0,2.0,856.0,1166,190000,4
5,1464,0.0,0.0,504.0,764,129000,3
6,1652,510.0,2.0,1592.0,1652,200000,3
6,2142,509.0,1.0,896.0,1182,193500,4
6,1092,504.0,2.0,1092.0,1092,145000,4
7,1671,451.0,2.0,1022.0,1122,218000,3
5,1488,569.0,2.0,0.0,1488,135000,0
5,1624,240.0,1.0,1444.0,1624,146500,3
6,1362,460.0,2.0,1362.0,1362,194700,4
7,1218,462.0,2.0,1218.0,1218,230348,4
6,1068,288.0,1.0,1124.0,1068,109500,2
6,1625,576.0,2.0,1625.0,1625,242500,4
7,1767,504.0,2.0,1064.0,1064,239000,4
6,1050,286.0,1.0,1050.0,1050,156000,3
4,907,352.0,1.0,907.0,907,109008,3
2,845,256.0,1.0,0.0,640,68104,0
8,2501,751.0,3.0,1242.0,1251,290000,4
5,1209,504.0,2.0,1209.0,1209,159000,4
4,906,231.0,1.0,348.0,453,87000,3
8,1601,670.0,2.0,1581.0,1601,272000,4
7,1336,502.0,2.0,1336.0,1336,198000,4
4,1656,440.0,2.0,801.0,1095,119164,3
5,1124,0.0,0.0,0.0,1124,93000,0
7,1892,431.0,2.0,982.0,1008,226750,4
3,1699,420.0,2.0,978.0,1014,95000,2
6,1416,312.0,1.0,780.0,780,139900,3
3,1306,0.0,0.0,728.0,1306,76500,3
4,672,308.0,1.0,672.0,672,86900,3
5,1160,257.0,1.0,1113.0,1160,152500,3
4,930,286.0,1.0,911.0,930,99000,4
4,708,0.0,0.0,420.0,708,82500,3
6,1575,529.0,2.0,1575.0,1575,179200,4
5,1059,286.0,1.0,1059.0,1059,142500,3
4,1005,440.0,2.0,1005.0,1005,115400,3
7,1929,650.0,2.0,1057.0,1057,226000,4
7,1200,480.0,2.0,600.0,520,144152,4
8,2690,795.0,3.0,1765.0,1804,370000,5
5,833,495.0,2.0,833.0,833,149900,4
6,1456,429.0,2.0,728.0,728,172785,4
5,864,720.0,2.0,864.0,864,129000,3
6,1586,435.0,2.0,1362.0,1586,181000,4
5,1370,300.0,1.0,1058.0,1370,148000,3
6,914,0.0,0.0,914.0,914,117250,4
7,1555,430.0,2.0,1373.0,1555,192500,4
6,1556,452.0,2.0,716.0,716,151000,4
5,882,461.0,2.0,882.0,882,112500,3
5,1167,495.0,2.0,915.0,1167,144000,3
9,1800,944.0,3.0,1800.0,1800,370967,5
6,1456,440.0,2.0,855.0,855,149900,3
7,1660,493.0,2.0,831.0,831,195000,4
7,1482,392.0,2.0,384.0,812,163900,4
6,1522,552.0,2.0,1190.0,1522,182000,4
9,2036,780.0,3.0,2190.0,2036,410000,5
5,1595,672.0,2.0,1582.0,1595,152000,4
7,1686,462.0,2.0,891.0,891,184000,4
7,1344,784.0,4.0,1344.0,1344,206300,4
5,1652,928.0,3.0,1652.0,1652,146500,3
4,1337,263.0,1.0,832.0,832,108000,3
7,1920,487.0,2.0,570.0,1222,170000,3
6,848,420.0,2.0,848.0,848,145000,4
7,1055,440.0,2.0,1057.0,1055,123000,4
6,1291,431.0,2.0,1291.0,1291,173000,4
6,720,484.0,2.0,624.0,720,105900,3
4,988,297.0,1.0,462.0,526,91000,4
5,1523,295.0,1.0,1067.0,986,158000,3
7,1728,572.0,2.0,864.0,864,190000,4
8,1239,477.0,2.0,1230.0,1239,217500,4
5,1955,356.0,1.0,1151.0,1151,165500,3
7,1564,234.0,1.0,704.0,860,174500,3
4,1204,312.0,1.0,416.0,1204,100000,5
6,1329,312.0,1.0,1329.0,1329,172000,3
5,879,440.0,2.0,864.0,879,120000,3
4,841,294.0,1.0,721.0,841,82000,3
6,1312,649.0,2.0,784.0,900,127000,3
6,2058,396.0,2.0,735.0,1134,129500,4
8,1360,565.0,2.0,1220.0,1360,187500,4
8,1786,715.0,3.0,1778.0,1786,300000,5
6,1993,495.0,2.0,825.0,1097,190000,3
4,1362,280.0,1.0,951.0,986,96000,3
7,1550,438.0,2.0,1092.0,1112,241000,4
5,1696,349.0,1.0,1140.0,1696,143900,3
4,1092,286.0,1.0,546.0,546,87550,3
9,1752,576.0,2.0,1752.0,1752,319900,5
9,2473,675.0,3.0,1094.0,1102,356383,5
9,1800,702.0,2.0,1800.0,1800,239000,5
7,2197,783.0,3.0,1080.0,1108,287500,4
5,1382,660.0,2.0,720.0,854,128500,3
7,1733,433.0,2.0,847.0,847,185088,4
7,1402,625.0,2.0,1402.0,1402,229800,4
5,887,288.0,1.0,864.0,887,124500,3
5,1051,504.0,2.0,1051.0,1051,142000,3
6,1510,216.0,1.0,755.0,755,149000,3
5,1656,506.0,2.0,1656.0,1656,135000,3
6,958,440.0,2.0,1078.0,958,128000,4
8,3228,546.0,2.0,3200.0,3228,430000,4
5,1040,686.0,2.0,1040.0,1040,145000,3
5,1250,552.0,2.0,661.0,661,139000,3
6,1868,477.0,2.0,585.0,1140,178000,4
10,2790,1150.0,4.0,1620.0,1632,460000,5
6,2134,441.0,2.0,844.0,1445,214500,3
5,1928,0.0,0.0,686.0,948,160000,3
7,2060,390.0,2.0,992.0,1022,214000,4
6,1378,162.0,1.0,901.0,861,128900,3
4,1622,1356.0,4.0,1249.0,1622,168000,3
8,1880,880.0,3.0,955.0,955,310013,5
8,1088,461.0,2.0,1074.0,1088,170000,4
5,1040,286.0,1.0,1040.0,1040,133700,3
6,1502,180.0,1.0,602.0,900,165000,3
6,987,264.0,1.0,483.0,483,89500,3
6,1095,264.0,1.0,588.0,1095,140000,3
7,1709,380.0,2.0,970.0,970,134000,4
6,1731,462.0,2.0,836.0,844,248500,4
4,960,364.0,1.0,648.0,960,145000,3
6,1552,434.0,2.0,713.0,811,179900,4
8,1795,895.0,3.0,1795.0,1795,147000,5
5,1274,576.0,2.0,624.0,624,136000,4
6,1196,576.0,2.0,572.0,848,128000,3
4,704,220.0,1.0,560.0,704,88750,2
5,972,305.0,1.0,972.0,972,122500,3
6,1458,330.0,1.0,912.0,912,97500,3
6,1008,430.0,2.0,1008.0,1008,135000,3
9,1828,774.0,3.0,1822.0,1828,314813,5
3,1526,0.0,0.0,1013.0,1013,85000,3
6,1176,624.0,2.0,698.0,786,134900,3
5,1057,288.0,1.0,1057.0,1057,137000,3
8,2113,839.0,3.0,2109.0,2113,350000,4
5,1387,300.0,1.0,943.0,1387,145000,3
9,2758,814.0,3.0,1704.0,1722,418000,5
3,840,250.0,1.0,798.0,840,64000,3
5,1520,281.0,1.0,793.0,848,159434,3
8,1542,852.0,3.0,1542.0,1542,260261,4
5,1385,720.0,2.0,910.0,910,166000,3
5,936,288.0,1.0,896.0,936,130000,3
5,1288,240.0,1.0,824.0,824,112000,2
5,1128,525.0,2.0,1120.0,1128,155000,3
8,1968,680.0,3.0,774.0,774,269500,5
6,1246,441.0,2.0,1246.0,1246,172000,3
7,1740,240.0,1.0,800.0,960,219500,3
5,925,484.0,2.0,925.0,925,133500,3
7,1430,400.0,2.0,384.0,774,170000,4
8,1566,288.0,1.0,930.0,930,150000,3
5,950,400.0,2.0,984.0,950,130000,3
5,1144,796.0,1.0,1144.0,1144,143000,3
5,1114,451.0,2.0,1114.0,1114,140000,3
7,2223,516.0,2.0,2223.0,2223,244000,4
5,1111,288.0,1.0,530.0,581,101000,3
5,960,624.0,2.0,960.0,960,125000,3
6,1633,460.0,2.0,932.0,932,183000,4
6,2229,0.0,0.0,755.0,929,104000,3
6,984,280.0,1.0,936.0,984,112500,3
6,1686,612.0,2.0,1686.0,1686,207500,4
7,1614,576.0,2.0,1614.0,1614,225000,4
5,864,297.0,1.0,864.0,864,119900,3
7,1740,874.0,3.0,1721.0,1740,293000,5
5,1721,440.0,2.0,1461.0,1721,180000,3
6,1034,888.0,3.0,1012.0,1034,169900,3
6,1902,539.0,2.0,0.0,1318,112000,0
6,1097,480.0,2.0,1040.0,1097,152000,4
9,2206,670.0,3.0,1090.0,1117,300000,4
6,1117,672.0,2.0,1029.0,1117,107000,3
4,2290,560.0,2.0,777.0,1246,122500,3
6,948,264.0,1.0,483.0,483,89000,3
6,919,231.0,1.0,600.0,600,95000,2
6,1152,412.0,2.0,912.0,1152,143450,3
9,2334,751.0,3.0,1590.0,1627,376162,5
5,1264,461.0,2.0,1268.0,1264,167500,3
5,1224,528.0,2.0,1086.0,1224,153337,4
6,1369,300.0,1.0,672.0,697,103600,3
5,894,308.0,1.0,894.0,894,128200,3
6,1573,440.0,2.0,756.0,769,177500,4
8,2250,756.0,3.0,1671.0,1687,320000,4
6,1514,394.0,2.0,794.0,819,190000,4
6,1218,0.0,0.0,672.0,672,91500,3
5,1387,256.0,1.0,811.0,811,93000,3
4,1317,250.0,1.0,649.0,649,40000,3
6,1355,0.0,0.0,684.0,773,127000,3
4,952,330.0,1.0,756.0,952,50138,3
6,1113,504.0,1.0,1143.0,1113,148000,3
5,778,924.0,1.0,740.0,778,120500,3
6,1489,240.0,1.0,778.0,944,139500,3
9,1698,768.0,3.0,1698.0,1698,320000,5
7,2267,498.0,2.0,1005.0,1262,219000,3
5,902,484.0,2.0,864.0,902,131000,4
6,1495,440.0,2.0,738.0,738,171925,4
5,1384,404.0,2.0,1348.0,1384,177900,4
6,1436,228.0,1.0,585.0,851,141500,3
6,1636,440.0,2.0,952.0,952,191000,4
6,1158,576.0,2.0,1158.0,1158,158000,4
8,1646,870.0,3.0,1638.0,1646,248900,4
5,1768,240.0,1.0,731.0,981,175000,4
6,1565,299.0,1.0,1187.0,1565,185900,3
7,1768,320.0,2.0,880.0,880,163000,4
5,1396,0.0,0.0,660.0,1060,115000,3
6,1096,484.0,2.0,1008.0,1096,157500,3
7,2312,658.0,3.0,1177.0,1223,245000,4
8,1337,462.0,2.0,1337.0,1337,180000,4
7,1102,480.0,2.0,551.0,551,148800,4
8,2031,577.0,2.0,1128.0,1128,237000,4
2,438,246.0,1.0,290.0,438,60000,3
5,1033,504.0,2.0,456.0,1033,165000,4
7,2327,596.0,2.0,1129.0,1129,240000,4
7,1187,420.0,2.0,1168.0,1187,160000,4
6,1340,440.0,1.0,780.0,816,128000,3
4,1152,0.0,0.0,0.0,1152,82000,0
6,1567,542.0,2.0,1562.0,1567,256000,3
7,1482,324.0,2.0,650.0,832,143000,3
7,1689,433.0,2.0,1689.0,1689,231713,4
5,1424,828.0,3.0,1100.0,1424,155000,4
5,816,264.0,1.0,816.0,816,128500,3
7,1424,312.0,1.0,1228.0,1424,168000,3
7,1479,484.0,2.0,725.0,725,184000,3
5,1025,0.0,0.0,1025.0,1025,124000,3
6,1442,615.0,2.0,1442.0,1442,185000,3
8,1936,504.0,2.0,1406.0,1454,230500,4
7,1939,555.0,3.0,1054.0,1070,227000,4
6,1476,540.0,2.0,738.0,738,173500,4
5,898,326.0,1.0,833.0,898,140000,4
8,1460,480.0,2.0,1460.0,1460,247000,5
6,1034,504.0,2.0,456.0,1034,149900,4
5,1174,528.0,2.0,864.0,1174,158000,4
7,1080,496.0,2.0,530.0,530,147110,4
6,1376,198.0,1.0,780.0,780,119500,3
5,1567,440.0,2.0,840.0,840,205000,3
5,1534,0.0,0.0,736.0,751,148000,4
8,1616,608.0,2.0,1595.0,1616,236500,4
5,1551,240.0,1.0,1058.0,1058,137000,2
5,960,330.0,1.0,960.0,960,122000,3
7,1302,436.0,2.0,1302.0,1302,176485,4
5,816,210.0,1.0,816.0,816,109000,3
7,1502,286.0,1.0,1502.0,1502,330000,4
6,1133,308.0,1.0,192.0,1133,143000,3
9,3078,806.0,3.0,1408.0,1671,410000,5
6,1721,471.0,2.0,928.0,936,201000,4
4,1760,648.0,2.0,1077.0,981,80000,2
6,2320,180.0,1.0,1028.0,1436,259500,3
7,2486,452.0,2.0,1122.0,1146,279900,4
5,1246,305.0,1.0,1246.0,1246,154000,3
6,2144,389.0,2.0,1444.0,1444,277000,4
5,1150,215.0,1.0,799.0,799,128000,3
8,1600,890.0,3.0,1566.0,1600,256300,4
4,1755,231.0,1.0,930.0,1230,188000,3
8,1800,765.0,3.0,1800.0,1800,312500,5
7,1200,480.0,2.0,600.0,600,151000,4
5,1365,440.0,2.0,765.0,765,122500,3
6,1696,542.0,2.0,835.0,835,188000,4
7,1809,638.0,2.0,945.0,945,209700,4
8,2234,724.0,2.0,2220.0,2234,441929,5
6,1680,474.0,2.0,886.0,886,163000,4
6,2087,444.0,2.0,832.0,976,187500,3
8,1513,521.0,2.0,1462.0,1513,220000,4
5,1107,308.0,1.0,949.0,1107,127000,3
5,827,392.0,1.0,0.0,827,107500,0
6,1484,0.0,0.0,742.0,742,128000,3
5,764,504.0,2.0,680.0,764,73000,2
9,1792,874.0,3.0,1792.0,1792,374000,5
8,2649,746.0,3.0,1479.0,1515,421250,5
6,1593,389.0,2.0,808.0,808,178000,4
4,1181,588.0,2.0,1138.0,1181,137500,4
8,1987,691.0,2.0,1986.0,1987,301500,4
6,1242,180.0,1.0,583.0,647,105000,3
6,976,504.0,2.0,976.0,976,157500,3
5,1214,216.0,1.0,969.0,969,117000,3
5,864,336.0,1.0,864.0,864,105000,3
6,1639,240.0,1.0,1064.0,1166,115000,3
9,1736,834.0,3.0,1736.0,1736,360000,5
5,1535,400.0,2.0,0.0,1535,118858,0
6,1632,484.0,2.0,800.0,800,173000,3
3,725,320.0,1.0,630.0,725,78500,3
7,1720,440.0,2.0,840.0,840,183500,4
4,936,576.0,2.0,936.0,936,93000,2
8,1589,630.0,3.0,1406.0,1589,226500,4
6,1571,380.0,2.0,799.0,799,178000,4
7,1479,558.0,2.0,1453.0,1479,226000,4
5,1632,898.0,2.0,784.0,784,173000,3
5,864,360.0,1.0,864.0,864,62383,3
9,2713,858.0,3.0,1452.0,1476,446261,5
7,1479,312.0,1.0,624.0,743,160000,3
7,1576,668.0,3.0,1393.0,1576,219990,4
7,1479,577.0,2.0,1468.0,1479,191000,4
5,1060,308.0,1.0,756.0,916,136500,3
4,943,308.0,1.0,0.0,943,80000,0
7,2183,786.0,3.0,1204.0,1377,229000,4
7,1949,574.0,2.0,1050.0,1062,236000,4
10,1824,932.0,3.0,1824.0,1824,392000,5
6,1930,316.0,1.0,720.0,1146,149000,3
10,2393,846.0,2.0,970.0,1469,345000,4
5,2014,624.0,2.0,716.0,1007,169000,2
4,1242,336.0,1.0,484.0,1242,109900,3
7,2000,650.0,3.0,996.0,996,188000,4
6,1412,280.0,1.0,780.0,825,132500,3
5,990,440.0,1.0,990.0,990,143000,3
5,1342,256.0,1.0,1342.0,1342,125000,2
9,1868,1085.0,3.0,1868.0,1868,415000,5
4,1363,528.0,2.0,622.0,741,125500,2
6,1632,338.0,1.0,1240.0,1632,139000,3
10,2296,842.0,3.0,1722.0,1728,451950,5
5,1678,0.0,0.0,1678.0,1678,119900,3
8,1296,471.0,2.0,1267.0,1296,220000,5
6,1587,525.0,2.0,1587.0,1587,167300,3
5,1298,256.0,1.0,720.0,854,122000,3
5,1728,504.0,2.0,1728.0,1728,125000,3
5,928,288.0,1.0,928.0,928,112500,3
7,1795,578.0,2.0,879.0,879,191000,4
6,1080,288.0,1.0,1080.0,1080,136000,3
7,1779,546.0,2.0,866.0,866,197900,4
6,1635,255.0,1.0,485.0,1001,117000,3
7,1220,632.0,2.0,1199.0,1220,194000,4
9,1310,545.0,2.0,1310.0,1310,285000,5
5,1355,0.0,0.0,644.0,808,127500,3
7,2295,590.0,2.0,1095.0,1166,268000,4
4,1798,342.0,2.0,1075.0,1156,137000,3
7,1620,578.0,2.0,1620.0,1620,215000,3
5,1216,336.0,1.0,1216.0,1216,129500,3
5,1344,240.0,1.0,896.0,896,115000,4
5,1159,288.0,1.0,747.0,747,114000,3
4,1056,384.0,1.0,1056.0,1056,107000,3
5,1216,336.0,1.0,832.0,832,118500,3
6,1158,208.0,1.0,862.0,950,120000,3
8,1538,484.0,2.0,1538.0,1538,260000,4
5,1143,308.0,1.0,1143.0,1143,136000,3
4,872,480.0,4.0,858.0,872,123000,3
6,1406,0.0,0.0,319.0,1035,89500,3
6,1324,430.0,2.0,1324.0,1324,199500,4
