MS Zoning,Street,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin Type 2,Heating,Heating QC,Central Air,Electrical,Kitchen Qual,Functional,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Qual,Garage Cond,Paved Drive,Sale Type
RM,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,Gable,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,CBlock,3,3,1,ALQ,Unf,GasA,TA,Y,SBrkr,TA,Typ,0,Detchd,1971.0,Unf,TA,TA,Y,COD
RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,4,3,3,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,0,Attchd,2005.0,RFn,TA,TA,Y,WD 
RL,Pave,Reg,Bnk,AllPub,FR2,Gtl,SawyerW,Feedr,Norm,1Fam,2Story,Gable,CompShg,HdBoard,HdBoard,None,Gd,TA,PConc,0,0,0,None,None,GasA,Ex,Y,SBrkr,TA,Mod,3,Attchd,1900.0,Unf,TA,TA,P,WD 
FV,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,Gable,CompShg,MetalSd,MetalSd,BrkFace,Gd,TA,PConc,4,3,1,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,0,Detchd,2000.0,Unf,TA,TA,Y,ConLD
RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,4,3,3,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,0,Attchd,2007.0,RFn,TA,TA,Y,WD 
RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,PConc,5,3,3,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,0,Attchd,2004.0,RFn,TA,TA,Y,WD 
RM,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,Gable,CompShg,AsbShng,AsbShng,None,TA,TA,BrkTil,3,3,1,Unf,Unf,GasA,Fa,N,SBrkr,TA,Typ,0,Detchd,1916.0,Unf,Fa,Fa,Y,COD
RL,Pave,Reg,Lvl,AllPub,Corner,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,PConc,3,3,1,Rec,Unf,GasA,TA,Y,SBrkr,TA,Typ,0,Detchd,1963.0,Unf,TA,TA,Y,WD 
RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,Gable,CompShg,Plywood,Plywood,BrkFace,TA,TA,CBlock,3,3,1,Unf,Unf,GasA,Ex,Y,SBrkr,TA,Typ,3,Attchd,1977.0,RFn,TA,TA,Y,WD 
FV,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,PConc,4,3,2,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,0,Attchd,2009.0,Unf,TA,TA,Y,Con
RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,CBlock,4,3,1,BLQ,Unf,GasA,Gd,Y,SBrkr,TA,Typ,1,Attchd,1968.0,Fin,TA,TA,Y,WD 
RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,Gable,CompShg,CemntBd,CmentBd,None,Gd,TA,PConc,4,3,1,GLQ,Unf,GasA,Ex,Y,SBrkr,Ex,Typ,5,Attchd,2000.0,Fin,TA,TA,Y,WD 
RL,Pave,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,Gable,CompShg,CemntBd,CmentBd,None,Gd,TA,PConc,5,3,3,Unf,Unf,GasA,Ex,Y,SBrkr,Ex,Typ,4,Attchd,2005.0,Fin,TA,TA,Y,New
RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,None,TA,Gd,PConc,4,3,1,ALQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,0,Attchd,1992.0,Fin,TA,TA,Y,WD 
RL,Pave,Reg,Bnk,AllPub,Inside,Gtl,Gilbert,Norm,Norm,2fmCon,1Story,Hip,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,CBlock,3,3,2,Rec,Unf,GasA,TA,N,SBrkr,TA,Typ,0,Attchd,1955.0,Fin,TA,TA,Y,WD 
RL,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,MetalSd,MetalSd,BrkFace,TA,TA,CBlock,3,3,1,Rec,Unf,GasA,Ex,Y,SBrkr,TA,Typ,3,Attchd,1961.0,RFn,TA,TA,Y,WD 
RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,RRAe,Norm,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,None,TA,Gd,CBlock,3,3,1,GLQ,BLQ,GasA,Ex,Y,SBrkr,TA,Typ,4,Detchd,1973.0,Unf,TA,TA,Y,WD 
RL,Pave,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,WdShing,Wd Shng,None,TA,TA,CBlock,3,3,1,BLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Min2,4,Detchd,1937.0,Unf,TA,TA,Y,WD 
C (all),Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,2fmCon,2Story,Gable,CompShg,VinylSd,VinylSd,None,TA,Gd,CBlock,3,3,1,Unf,Unf,GasA,Fa,N,SBrkr,TA,Typ,0,None,None,None,None,None,N,WD 
RL,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Artery,Norm,1Fam,1.5Fin,Gable,CompShg,MetalSd,MetalSd,None,TA,Gd,CBlock,3,3,2,Unf,Unf,GasA,Ex,Y,SBrkr,TA,Typ,1,Detchd,2003.0,Unf,TA,TA,Y,WD 
RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,PosN,Norm,1Fam,1Story,Hip,WdShngl,BrkFace,BrkFace,None,Gd,TA,PConc,4,3,1,ALQ,Unf,GasA,TA,Y,SBrkr,Gd,Typ,4,Attchd,1981.0,Fin,TA,TA,Y,WD 
RL,Pave,IR1,HLS,AllPub,Corner,Mod,Crawfor,Norm,Norm,1Fam,2Story,Gable,CompShg,BrkFace,Stucco,None,TA,TA,PConc,4,3,1,Unf,Unf,GasA,Fa,Y,SBrkr,Gd,Typ,4,Detchd,1931.0,Unf,TA,TA,Y,WD 
RL,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Veenker,Norm,Norm,TwnhsE,1Story,Hip,CompShg,BrkFace,BrkFace,None,Gd,Gd,PConc,4,4,3,LwQ,GLQ,GasA,Ex,Y,SBrkr,Ex,Typ,4,Attchd,1995.0,Fin,TA,TA,Y,WD 
RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,CBlock,3,3,1,ALQ,Unf,GasA,TA,Y,SBrkr,TA,Typ,0,Detchd,1952.0,Unf,TA,TA,N,WD 
RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Hip,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,5,3,4,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,4,Attchd,2007.0,RFn,TA,TA,Y,WD 
RL,Pave,IR1,HLS,AllPub,Inside,Mod,NAmes,Norm,Norm,1Fam,1Story,Flat,Tar&Grv,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,4,3,4,Unf,Unf,GasA,Fa,Y,SBrkr,TA,Typ,4,Basment,1958.0,RFn,TA,TA,Y,WD 
RM,Pave,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,2Story,Gable,CompShg,CemntBd,CmentBd,None,TA,TA,PConc,3,3,1,ALQ,Rec,GasA,Ex,Y,SBrkr,TA,Typ,3,Attchd,1977.0,RFn,TA,TA,Y,WD 
RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,Plywood,Plywood,BrkFace,TA,TA,CBlock,4,3,1,BLQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,3,Attchd,1977.0,RFn,TA,TA,Y,COD
RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,CBlock,3,3,1,ALQ,Unf,GasA,Fa,Y,SBrkr,TA,Typ,3,Attchd,1973.0,Unf,TA,TA,Y,WD 
RL,Pave,IR2,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,TA,Gd,PConc,4,4,1,GLQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,0,Detchd,1995.0,Unf,TA,TA,Y,WD 
RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,None,Gd,TA,CBlock,3,3,1,BLQ,LwQ,GasA,Gd,Y,SBrkr,TA,Typ,0,Attchd,1965.0,Fin,TA,TA,Y,WD 
RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,Ex,TA,PConc,5,4,4,GLQ,Unf,GasA,Ex,Y,SBrkr,Ex,Typ,4,Attchd,2006.0,Fin,TA,TA,Y,New
RL,Pave,IR1,Lvl,AllPub,Corner,Gtl,Mitchel,Norm,Norm,1Fam,SFoyer,Gable,CompShg,Plywood,Plywood,BrkFace,TA,Gd,PConc,4,3,3,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,3,Attchd,1978.0,Fin,TA,TA,Y,WD 
RM,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,MetalSd,MetalSd,BrkFace,TA,TA,BrkTil,3,3,1,Unf,Unf,GasA,Ex,N,FuseF,TA,Typ,0,Attchd,1954.0,Unf,Fa,TA,Y,WD 
RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,Hip,CompShg,HdBoard,HdBoard,None,TA,TA,CBlock,3,3,1,Rec,Unf,GasA,Ex,Y,SBrkr,TA,Typ,0,Detchd,1965.0,Unf,TA,TA,Y,WD 
RL,Pave,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,2Story,Gable,CompShg,BrkFace,Stucco,Stone,TA,TA,PConc,3,2,1,LwQ,Unf,GasA,TA,Y,SBrkr,TA,Typ,4,Detchd,1935.0,Fin,Fa,TA,Y,WD 
RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,CBlock,3,3,1,LwQ,BLQ,GasA,Ex,Y,SBrkr,TA,Min2,0,Detchd,1977.0,Unf,TA,TA,Y,WD 
RL,Pave,Reg,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,2Story,Gable,CompShg,Stucco,Wd Shng,None,TA,Fa,BrkTil,4,3,1,Unf,Unf,GasA,TA,Y,SBrkr,TA,Typ,4,Attchd,1931.0,RFn,TA,TA,P,WD 
RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,Stone,TA,TA,CBlock,3,3,1,Rec,LwQ,GasA,TA,Y,SBrkr,TA,Typ,0,Attchd,1954.0,RFn,TA,TA,Y,WD 
RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,Twnhs,2Story,Gable,CompShg,VinylSd,Wd Shng,Stone,Gd,TA,PConc,4,3,1,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,0,BuiltIn,2003.0,RFn,TA,TA,Y,WD 
FV,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,Gable,CompShg,MetalSd,MetalSd,BrkFace,Gd,TA,PConc,4,3,1,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,0,Detchd,2000.0,Unf,TA,TA,Y,WD 
RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,WdShing,Plywood,None,TA,TA,BrkTil,3,3,1,BLQ,Unf,GasA,TA,Y,SBrkr,Gd,Min2,3,Detchd,1981.0,Unf,TA,TA,Y,WD 
RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,RRAn,Norm,1Fam,2Story,Gable,CompShg,Plywood,Plywood,BrkFace,TA,TA,CBlock,4,3,1,BLQ,LwQ,GasA,TA,Y,SBrkr,Gd,Typ,3,Attchd,1978.0,RFn,TA,TA,Y,WD 
RM,Pave,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,Twnhs,2Story,Gable,CompShg,CemntBd,CmentBd,None,TA,TA,CBlock,3,3,1,GLQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,0,None,None,None,None,None,Y,WD 
RL,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,3,3,1,Unf,Unf,GasA,TA,Y,SBrkr,Gd,Typ,4,Attchd,1951.0,Unf,TA,TA,Y,WD 
RL,Pave,Reg,Lvl,AllPub,Corner,Gtl,Sawyer,Norm,Norm,1Fam,2Story,Gable,CompShg,HdBoard,HdBoard,Stone,TA,TA,CBlock,3,3,1,ALQ,Unf,GasA,TA,Y,SBrkr,TA,Typ,0,Attchd,1969.0,Fin,TA,TA,Y,WD 
FV,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,Gable,CompShg,MetalSd,MetalSd,None,Gd,TA,PConc,4,3,1,GLQ,ALQ,GasA,Ex,Y,SBrkr,Gd,Typ,0,Detchd,2004.0,RFn,TA,TA,Y,WD 
RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,None,TA,Gd,CBlock,3,3,1,BLQ,Unf,GasA,TA,Y,FuseA,TA,Typ,0,Attchd,1954.0,Unf,TA,TA,Y,WD 
RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,CBlock,3,3,1,Rec,ALQ,GasA,TA,Y,FuseF,TA,Typ,0,Attchd,1953.0,Fin,TA,TA,Y,WD 
RL,Pave,IR2,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,Gable,CompShg,HdBoard,HdBoard,None,TA,TA,PConc,4,3,1,Rec,Unf,GasA,Gd,Y,SBrkr,TA,Typ,3,Attchd,1996.0,Fin,TA,TA,Y,WD 
RL,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NoRidge,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,4,3,1,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,4,Attchd,1999.0,Fin,TA,TA,Y,WD 
FV,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,Gable,CompShg,CemntBd,CmentBd,None,Gd,TA,PConc,4,3,3,GLQ,Unf,GasA,Ex,Y,SBrkr,Ex,Typ,4,BuiltIn,2007.0,Fin,TA,TA,Y,New
RL,Pave,IR1,Low,AllPub,Inside,Mod,ClearCr,Norm,Norm,1Fam,1Story,Hip,CompShg,Wd Sdng,Wd Sdng,None,Gd,Gd,CBlock,4,3,4,ALQ,Unf,GasA,Gd,Y,SBrkr,TA,Typ,3,Attchd,1977.0,RFn,TA,TA,Y,WD 
RM,Pave,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,Gable,CompShg,WdShing,Wd Shng,None,Fa,Fa,BrkTil,3,3,1,Rec,Unf,GasA,Gd,N,FuseA,Ex,Typ,4,Detchd,1920.0,Unf,Fa,Fa,N,WD 
RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,AsbShng,AsbShng,None,TA,TA,CBlock,3,3,1,Rec,LwQ,GasA,Gd,Y,FuseA,Gd,Typ,0,Attchd,1955.0,Unf,TA,TA,Y,WD 
RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Feedr,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,PConc,4,3,1,ALQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,0,None,None,None,None,None,Y,New
RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,2Story,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,BrkTil,4,3,1,GLQ,Unf,GasA,TA,Y,SBrkr,TA,Typ,4,Detchd,1930.0,Unf,TA,TA,Y,WD 
RM,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,2Story,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,4,3,1,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Maj1,0,Detchd,2004.0,Unf,TA,TA,Y,WD 
RL,Pave,IR1,HLS,AllPub,Corner,Mod,NridgHt,Norm,Norm,1Fam,1Story,Hip,CompShg,MetalSd,MetalSd,Stone,Ex,TA,PConc,5,3,4,Unf,Unf,GasA,Ex,Y,SBrkr,Ex,Typ,4,Attchd,2006.0,Fin,TA,TA,Y,WD 
RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,4,3,4,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,4,Attchd,2005.0,Fin,TA,TA,Y,WD 
RL,Pave,IR2,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,4,3,4,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,3,Attchd,2009.0,RFn,TA,TA,Y,Con
RL,Pave,IR2,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,BrkFace,Gd,TA,PConc,5,3,2,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,0,Attchd,1996.0,Fin,TA,TA,Y,WD 
RL,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,BrkFace,BrkFace,None,TA,TA,CBlock,3,3,2,ALQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,2,BuiltIn,1954.0,Fin,TA,TA,Y,WD 
RM,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Twnhs,2Story,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,4,3,1,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Maj1,0,Detchd,2004.0,Unf,TA,TA,Y,WD 
RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,4,3,3,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,0,Attchd,2005.0,RFn,TA,TA,Y,WD 
RM,Grvl,IR1,Lvl,AllPub,Inside,Gtl,IDOTRR,RRNe,Norm,1Fam,1Story,Gable,CompShg,Stucco,Wd Shng,None,Gd,Gd,BrkTil,3,3,1,Unf,Unf,GasA,TA,Y,SBrkr,TA,Typ,0,Detchd,1930.0,Unf,TA,TA,N,WD 
RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,Gable,CompShg,BrkFace,Wd Sdng,Stone,TA,TA,BrkTil,3,3,1,Unf,Unf,GasA,Fa,N,FuseF,Fa,Mod,4,Detchd,1924.0,Unf,Fa,Fa,N,WD 
RM,Pave,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,BrkTil,3,3,1,Unf,Unf,GasA,Fa,N,SBrkr,Fa,Typ,0,Detchd,1920.0,Unf,Fa,TA,Y,WD 
RL,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Feedr,Norm,Duplex,2Story,Gable,CompShg,MetalSd,MetalSd,BrkFace,TA,TA,CBlock,3,3,1,Rec,Unf,GasA,TA,Y,FuseA,TA,Typ,0,Detchd,1960.0,Unf,TA,TA,Y,WD 
RM,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Artery,Norm,1Fam,1.5Fin,Gable,CompShg,VinylSd,VinylSd,None,Gd,Gd,BrkTil,3,1,1,Unf,Unf,GasA,Ex,Y,SBrkr,TA,Typ,0,None,None,None,None,None,N,WD 
RM,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,BrkTil,3,3,1,BLQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,0,Detchd,1920.0,Unf,Fa,Fa,Y,WD 
RL,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,StoneBr,Norm,Norm,1Fam,1Story,Hip,CompShg,VinylSd,VinylSd,Stone,Ex,TA,PConc,5,3,1,GLQ,Unf,GasA,Ex,Y,SBrkr,Ex,Typ,4,Attchd,2009.0,Fin,TA,TA,Y,New
RM,Pave,IR1,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,BrkTil,3,3,2,Unf,Unf,GasA,Gd,Y,SBrkr,TA,Typ,4,Detchd,1949.0,Unf,TA,TA,Y,WD 
RL,Pave,Reg,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,TA,Gd,CBlock,3,3,1,ALQ,Unf,GasA,Gd,Y,SBrkr,TA,Typ,0,Detchd,1986.0,Unf,TA,TA,Y,WD 
RM,Pave,Reg,Lvl,AllPub,FR2,Gtl,Mitchel,Norm,Norm,TwnhsE,1Story,Hip,CompShg,VinylSd,VinylSd,BrkFace,TA,TA,PConc,5,3,1,GLQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,0,Attchd,1997.0,RFn,TA,TA,Y,WD 
RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,Hip,CompShg,MetalSd,MetalSd,BrkFace,Ex,TA,PConc,5,4,1,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,4,Attchd,2006.0,RFn,TA,TA,Y,New
